report,justification_de_url,justification_en_url,TA
"Abemaciclib (Mammakarzinom, HR+, HER2-, Kombination mit Aromatasehemmer)",https://www.g-ba.de/downloads/40-268-5713/2019-05-02_AM-RL-XII_Abemaciclib_D-400_TrG.pdf,,onkologische Erkrankungen
"Abemaciclib (Mammakarzinom, HR+, HER2-, Kombination mit Fulvestrant)",https://www.g-ba.de/downloads/40-268-6185/2019-12-05_AM-RL-XII_Abemaciclib_D-401_TrG.pdf,https://www.g-ba.de/downloads/40-1465-6185/2019-12-05_AM-RL-XII_Abemaciclib_D-401_TrG_EN.pdf,onkologische Erkrankungen
"Abemaciclib (Neubewertung nach Fristablauf: Mammakarzinom, HR+, HER2-, Kombination mit Fulvestrant)",https://www.g-ba.de/downloads/40-268-8515/2022-05-19_AM-RL-XII_Abemaciclib_D-754_TrG.pdf,,onkologische Erkrankungen
"Abemaciclib (Neues Anwendungsgebiet: Mammakarzinom, HR+, HER2-, früh mit hohem Rezidivrisiko, Adjuvanz, Kombination mit endokriner Therapie)",,,onkologische Erkrankungen
"Abirateronacetat (Prostatakarzinom, Progredienz während oder nach Docetaxel-haltiger Chemotherapie, Kombination mit Prednison oder Prednisolon)",https://www.g-ba.de/downloads/40-268-1911/2012-03-29_AM-RL-XII_Abirateron_TrG.pdf,,onkologische Erkrankungen
"Abirateronacetat (neues Anwendungsgebiet: Prostatakarzinom, Hochrisiko, Kombination mit Androgenentzugstherapie)",https://www.g-ba.de/downloads/40-268-5049/2018-06-07_AM-RL-XII_Abirateronacetat-nAWG_D-337_TrG.pdf,,onkologische Erkrankungen
"Abirateronacetat (neues Anwendungsgebiet: Prostatakarzinom, nach Androgenentzugstherapie, keine Indikation für Chemotherapie)",https://www.g-ba.de/downloads/40-268-2396/2013-07-04_AM-RL-XII_Abirateronacetat-neuesAWG_TrG.pdf,,onkologische Erkrankungen
Abrocitinib (Atopische Dermatitis),,,Hauterkrankungen
"Acalabrutinib (Chronisch lymphatische Leukämie, nach mind. 1 Vorbehandlung)",https://www.g-ba.de/downloads/40-268-7739/2021-08-05_AM-RL-XII_Acalabrutinib_D-594_TrG.pdf,https://www.g-ba.de/downloads/40-1465-7739/2021-08-05_AM-RL-XII_Acalabrutinib_D-594_TrG_EN.pdf,onkologische Erkrankungen
"Acalabrutinib (chronisch lymphatische Leukämie; Kombination mit Obinutuzumab, Erstlinie)",https://www.g-ba.de/downloads/40-268-7626/2021-06-22_AM-RL-XII_Acalabrutinib_D-593_TrG.pdf,https://www.g-ba.de/downloads/40-1465-7578/2021-06-03_AM-RL-XII_Acalabrutinib_D-593_TrG_EN.pdf,onkologische Erkrankungen
